frame,top,bottom,court,net,ball,pos,type
36139,"[[1043.2274169921875, 345.7422180175781], [1046.105224609375, 342.8858947753906], [1040.3494873046875, 341.457763671875], [1047.544189453125, 345.7422180175781], [1033.15478515625, 342.8858947753906], [1051.861083984375, 362.88018798828125], [1023.0820922851562, 357.16754150390625], [1053.300048828125, 384.3026428222656], [1005.8147583007812, 358.595703125], [1051.861083984375, 401.4405517578125], [984.2305297851562, 357.16754150390625], [1043.2274169921875, 404.2969055175781], [1023.0820922851562, 402.86871337890625], [1061.9337158203125, 428.5756530761719], [1008.6926879882812, 428.5756530761719], [1072.0062255859375, 462.8515625], [987.1084594726562, 447.14178466796875]]","[[1022.1251220703125, 631.4531860351562], [1023.552734375, 627.1466064453125], [1049.2506103515625, 631.4531860351562], [1023.552734375, 631.4531860351562], [1047.8228759765625, 631.4531860351562], [1013.55908203125, 655.857421875], [1054.9613037109375, 661.5995483398438], [992.1441650390625, 690.3103637695312], [1070.66552734375, 698.9236450195312], [993.5718994140625, 708.972412109375], [1080.6591796875, 723.3278198242188], [1009.276123046875, 726.1989135742188], [1042.1123046875, 730.5054931640625], [982.150634765625, 756.34521484375], [1064.954833984375, 759.21630859375], [956.4526977539062, 802.2825927734375], [1079.2314453125, 809.4603271484375]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1076, 369]",None,None
36140,"[[1040.5399169921875, 345.4371643066406], [1043.3968505859375, 341.13092041015625], [1037.6829833984375, 339.69549560546875], [1047.682373046875, 344.00177001953125], [1031.968994140625, 341.13092041015625], [1050.539306640625, 362.66217041015625], [1023.3981323242188, 352.6142578125], [1051.9677734375, 387.06427001953125], [1003.3994750976562, 356.9205017089844], [1041.968505859375, 411.46636962890625], [983.4007568359375, 356.9205017089844], [1039.1114501953125, 401.41845703125], [1020.541259765625, 397.1121826171875], [1059.1102294921875, 421.51434326171875], [1009.1134033203125, 422.9497375488281], [1071.966552734375, 461.70599365234375], [991.9716186523438, 445.9163818359375]]","[[1016.543701171875, 631.5133056640625], [1016.543701171875, 628.6400756835938], [1042.4022216796875, 632.9498901367188], [1017.9802856445312, 632.9498901367188], [1040.9656982421875, 632.9498901367188], [1006.487548828125, 658.808837890625], [1049.5850830078125, 663.1187133789062], [987.8119506835938, 690.4142456054688], [1063.9510498046875, 688.9776611328125], [984.9387817382812, 711.9633178710938], [1072.5704345703125, 714.8365478515625], [1006.487548828125, 726.3294067382812], [1040.9656982421875, 729.20263671875], [974.8826904296875, 757.934814453125], [1065.3875732421875, 757.934814453125], [944.71435546875, 796.7232055664062], [1079.75341796875, 808.216064453125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1069, 377]",None,None
36141,"[[1041.2684326171875, 344.2422790527344], [1044.1409912109375, 341.3836669921875], [1038.39599609375, 339.9543762207031], [1047.013427734375, 344.2422790527344], [1032.6510009765625, 341.3836669921875], [1051.3221435546875, 362.822998046875], [1024.033447265625, 352.8179931640625], [1051.3221435546875, 388.5502014160156], [1003.9261474609375, 355.67657470703125], [1042.7047119140625, 411.4188537597656], [983.8186645507812, 357.1058654785156], [1038.39599609375, 402.8431091308594], [1019.7247924804688, 397.1259765625], [1059.939697265625, 421.4238586425781], [1008.2348022460938, 424.2824401855469], [1071.4295654296875, 461.4440002441406], [992.4361572265625, 445.7218017578125]]","[[1017.3544921875, 630.9602661132812], [1015.92578125, 628.0827026367188], [1041.643310546875, 630.9602661132812], [1017.3544921875, 632.3990478515625], [1040.214599609375, 633.837890625], [1005.9244995117188, 658.2974243164062], [1048.787109375, 662.6138305664062], [988.7794189453125, 689.9509887695312], [1063.0745849609375, 688.51220703125], [985.921875, 712.9718017578125], [1073.075927734375, 715.849365234375], [1005.9244995117188, 727.3597412109375], [1040.214599609375, 728.798583984375], [975.9205932617188, 756.1357421875], [1064.50341796875, 757.5745239257812], [945.9168090820312, 794.9832763671875], [1080.2197265625, 807.9324951171875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1067, 377]",None,None
36142,"[[1040.076904296875, 343.53662109375], [1042.9521484375, 340.6536865234375], [1037.201904296875, 340.6536865234375], [1045.8272705078125, 340.6536865234375], [1030.01416015625, 337.7707214355469], [1048.7022705078125, 359.3928527832031], [1021.3888549804688, 350.7440185546875], [1050.139892578125, 388.2223815917969], [1002.7006225585938, 353.626953125], [1042.9521484375, 411.28594970703125], [982.574951171875, 357.9513854980469], [1040.076904296875, 393.9882507324219], [1018.5137329101562, 391.1053466796875], [1057.32763671875, 422.8177795410156], [1005.5757446289062, 418.4933776855469], [1071.703125, 460.29620361328125], [991.2002563476562, 444.43994140625]]","[[1008.6979370117188, 627.0537109375], [1008.6979370117188, 628.4912109375], [1010.1261596679688, 628.4912109375], [1008.6979370117188, 632.8037719726562], [1031.549072265625, 634.2412719726562], [997.2724609375, 660.1165161132812], [1041.5462646484375, 661.5540161132812], [981.5623168945312, 693.1792602539062], [1055.8282470703125, 687.42919921875], [975.8495483398438, 713.304443359375], [1060.11279296875, 703.2418823242188], [1000.1288452148438, 729.1171264648438], [1032.9771728515625, 729.1171264648438], [967.2803955078125, 754.9923095703125], [1060.11279296875, 754.9923095703125], [938.7166137695312, 796.68017578125], [1074.394775390625, 803.8677978515625]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1061, 386]",None,None
36143,"[[1032.419921875, 336.7060852050781], [1036.69482421875, 332.3970642089844], [1030.9949951171875, 332.3970642089844], [1040.9697265625, 335.2697448730469], [1026.7200927734375, 333.8334045410156], [1048.0946044921875, 356.81475830078125], [1018.1703491210938, 348.1967468261719], [1048.0946044921875, 381.232421875], [1001.0707397460938, 353.94207763671875], [1042.394775390625, 407.0864562988281], [985.3961181640625, 361.1237487792969], [1038.119873046875, 389.8504333496094], [1016.745361328125, 386.9777526855469], [1052.3695068359375, 418.57708740234375], [1002.4957275390625, 412.831787109375], [1069.468994140625, 458.79443359375], [991.0960083007812, 442.9947814941406]]","[[1002.4111328125, 622.3311767578125], [1002.4111328125, 623.7706909179688], [1005.2801513671875, 620.8916625976562], [1002.4111328125, 629.5286865234375], [1025.36328125, 632.40771484375], [992.3695678710938, 658.3187255859375], [1036.8392333984375, 659.7581787109375], [979.4591064453125, 692.8667602539062], [1051.184326171875, 694.3062133789062], [973.7210083007812, 718.7777709960938], [1023.9287109375, 688.5482177734375], [995.2385864257812, 728.854248046875], [1031.1011962890625, 728.854248046875], [963.6795043945312, 753.3257446289062], [1054.0533447265625, 747.5677490234375], [937.8583984375, 796.5108032226562], [1069.8328857421875, 793.6317138671875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1052, 397]",None,None
36144,"[[1029.2607421875, 337.02783203125], [1032.1220703125, 331.3043518066406], [1026.3992919921875, 332.7352294921875], [1037.844970703125, 334.1661071777344], [1023.5377807617188, 334.1661071777344], [1044.99853515625, 355.6291198730469], [1013.5227661132812, 347.04388427734375], [1044.99853515625, 381.3847351074219], [997.784912109375, 357.0599670410156], [1040.7064208984375, 405.70947265625], [984.9085083007812, 362.7834167480469], [1034.9835205078125, 387.1081848144531], [1013.5227661132812, 384.2464294433594], [1047.8599853515625, 415.72552490234375], [999.2156982421875, 411.43292236328125], [1065.028564453125, 454.35894775390625], [987.7698974609375, 441.48114013671875]]","[[996.892333984375, 622.1668090820312], [996.892333984375, 622.1668090820312], [1024.06884765625, 623.6016235351562], [998.3226928710938, 626.4712524414062], [1021.2081909179688, 627.9060668945312], [989.7405395507812, 653.7326049804688], [1034.081298828125, 652.2977905273438], [974.0067749023438, 686.733154296875], [1045.5240478515625, 683.863525390625], [962.56396484375, 709.6900634765625], [1019.77783203125, 682.4287719726562], [995.4619140625, 722.6033935546875], [1028.3599853515625, 721.1685180664062], [963.9943237304688, 752.734375], [1046.9544677734375, 736.951416015625], [939.678466796875, 794.34375], [1065.5489501953125, 784.300048828125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1044, 409]",None,None
36145,"[[1025.7091064453125, 338.23443603515625], [1028.5738525390625, 333.9438781738281], [1022.8444213867188, 333.9438781738281], [1034.30322265625, 335.37408447265625], [1018.5473022460938, 335.37408447265625], [1041.465087890625, 355.3967590332031], [1011.385498046875, 348.24578857421875], [1042.8974609375, 381.14019775390625], [999.9266357421875, 356.8269348144531], [1041.465087890625, 406.8836669921875], [987.035400390625, 365.4080810546875], [1032.8709716796875, 386.8609924316406], [1012.81787109375, 385.4308166503906], [1047.1944580078125, 416.89501953125], [997.0618896484375, 411.1742248535156], [1061.51806640625, 452.6498107910156], [984.170654296875, 442.6384582519531]]","[[996.4473266601562, 617.5999755859375], [997.8787231445312, 614.724365234375], [999.3099975585938, 617.5999755859375], [999.3099975585938, 620.4755859375], [1022.211669921875, 621.9133911132812], [989.29052734375, 646.3558349609375], [1033.66259765625, 647.7936401367188], [974.97705078125, 682.3007202148438], [1040.8192138671875, 675.1117553710938], [962.0948486328125, 698.116455078125], [1017.9176635742188, 683.7384643554688], [997.8787231445312, 715.3699340820312], [1029.3685302734375, 713.9321899414062], [966.3888549804688, 749.8770141601562], [1046.5447998046875, 732.6234741210938], [942.055908203125, 793.0108642578125], [1060.8582763671875, 775.75732421875]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1039, 422]",None,None
36146,"[[1022.7365112304688, 338.2647705078125], [1025.5982666015625, 332.50689697265625], [1018.44384765625, 333.9463806152344], [1029.8909912109375, 333.9463806152344], [1014.1512451171875, 335.3858337402344], [1038.4761962890625, 355.538330078125], [1006.996826171875, 349.7804870605469], [1041.3380126953125, 381.44866943359375], [996.9805908203125, 359.856689453125], [1041.3380126953125, 404.4801025390625], [984.1026611328125, 369.9329528808594], [1031.32177734375, 388.64599609375], [1011.2894287109375, 387.2065124511719], [1044.1998291015625, 417.43524169921875], [992.68798828125, 415.99578857421875], [1059.939453125, 453.4218444824219], [979.81005859375, 441.9061279296875]]","[[998.4615478515625, 610.4695434570312], [999.8948974609375, 610.4695434570312], [1001.3282470703125, 606.1682739257812], [1001.3282470703125, 616.2045288085938], [1024.2618408203125, 616.2045288085938], [991.2948608398438, 642.0121459960938], [1032.8619384765625, 642.0121459960938], [976.9613037109375, 673.5548095703125], [1041.4620361328125, 664.9522705078125], [961.1945190429688, 689.3261108398438], [1017.0950927734375, 666.3860473632812], [998.4615478515625, 709.398681640625], [1029.9952392578125, 709.398681640625], [966.9279174804688, 748.1101684570312], [1045.7620849609375, 725.1700439453125], [939.6942749023438, 795.4241333007812], [1060.095458984375, 769.616455078125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1029, 437]",None,None
36147,"[[1022.8346557617188, 338.2024841308594], [1025.697509765625, 332.4438781738281], [1018.5403442382812, 333.8835144042969], [1029.9918212890625, 333.8835144042969], [1014.2460327148438, 335.3231506347656], [1038.5804443359375, 355.478271484375], [1007.0888061523438, 349.7196960449219], [1041.443359375, 381.3919982910156], [997.0686645507812, 359.7972412109375], [1040.011962890625, 404.4263916015625], [984.185791015625, 369.8747863769531], [1031.4232177734375, 388.5902404785156], [1011.3831176757812, 387.1506042480469], [1044.3062744140625, 417.38330078125], [992.7744140625, 414.50396728515625], [1060.0521240234375, 453.3745422363281], [979.8914184570312, 441.8573303222656]]","[[998.4526977539062, 610.4856567382812], [999.8861083984375, 610.4856567382812], [1001.3196411132812, 606.1849975585938], [1001.3196411132812, 616.2198486328125], [1024.2550048828125, 616.2198486328125], [991.2854614257812, 642.0238647460938], [1032.855712890625, 642.0238647460938], [976.9508666992188, 673.5621337890625], [1041.4564208984375, 664.9608154296875], [961.1827392578125, 689.331298828125], [1017.087646484375, 666.3944091796875], [998.4526977539062, 709.4010620117188], [1029.98876953125, 709.4010620117188], [966.9166259765625, 748.107177734375], [1045.7568359375, 725.1702270507812], [939.680908203125, 795.4144897460938], [1060.0914306640625, 769.6104736328125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1029, 437]",None,None
36148,"[[1016.8064575195312, 341.3716125488281], [1019.6542358398438, 337.05621337890625], [1013.9586181640625, 337.05621337890625], [1023.9259033203125, 337.05621337890625], [1009.6869506835938, 338.49468994140625], [1035.317138671875, 358.6331787109375], [1003.9913940429688, 352.87933349609375], [1041.0126953125, 380.21014404296875], [994.0241088867188, 362.9485778808594], [1041.0126953125, 406.1025085449219], [982.6329345703125, 373.017822265625], [1029.6214599609375, 390.2793884277344], [1008.2630615234375, 388.8409423828125], [1043.8604736328125, 420.4871520996094], [991.17626953125, 416.1717834472656], [1059.5234375, 453.5718078613281], [976.9373168945312, 440.6256103515625]]","[[1001.8112182617188, 607.130859375], [1001.8112182617188, 605.69091796875], [1003.2427978515625, 605.69091796875], [1003.2427978515625, 610.0107421875], [1027.5784912109375, 610.0107421875], [993.22216796875, 638.8097534179688], [1037.5989990234375, 638.8097534179688], [976.0440063476562, 671.9285278320312], [1018.9894409179688, 660.408935546875], [957.434326171875, 684.8880615234375], [991.7906494140625, 677.6883544921875], [998.9482421875, 703.6073608398438], [1030.4415283203125, 702.1674194335938], [966.0233764648438, 746.8057861328125], [1046.1881103515625, 720.88671875], [941.6876831054688, 791.4441528320312], [1067.660888671875, 765.5250854492188]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1024, 452]",None,None
36149,"[[1011.706298828125, 340.7964172363281], [1014.5684814453125, 336.513427734375], [1008.84423828125, 337.94110107421875], [1020.292724609375, 337.94110107421875], [1004.551025390625, 337.94110107421875], [1028.879150390625, 356.50079345703125], [997.3956909179688, 352.2177734375], [1037.4654541015625, 380.77117919921875], [990.2403564453125, 363.6391296386719], [1040.32763671875, 405.0415344238281], [978.7918090820312, 375.06048583984375], [1026.0169677734375, 392.1925354003906], [1004.551025390625, 392.1925354003906], [1043.189697265625, 425.0289306640625], [987.3782348632812, 416.462890625], [1057.5003662109375, 452.1546630859375], [974.4985961914062, 445.01629638671875]]","[[1006.7007446289062, 607.4818725585938], [1006.7007446289062, 603.1631469726562], [1009.5691528320312, 603.1631469726562], [1006.7007446289062, 604.6026611328125], [1032.5166015625, 604.6026611328125], [998.0953979492188, 634.8339233398438], [1041.121826171875, 633.394287109375], [980.8849487304688, 666.5046997070312], [1023.9113159179688, 659.3067626953125], [959.3717651367188, 680.9005126953125], [995.2269897460938, 673.7025756835938], [1000.9639282226562, 703.9337768554688], [1035.385009765625, 701.0546264648438], [967.9769897460938, 744.2420043945312], [1048.2928466796875, 719.7691650390625], [943.5953979492188, 791.7481689453125], [1071.240234375, 758.6378173828125]]","[[721, 403], [1200, 403], [660, 602], [1262, 602], [523, 976], [1396, 976]]","[[604, 425], [604, 602], [1326, 602], [1326, 425]]","[1016, 469]",None,None
